Company Name,Logo URL,Website URL,Type,Booth,Country,Company Industry,Sector(s),Region(s),Funding Stage,Business type,Founding Year,Number of Employees,LinkedIn,Instagram,Description
Datadog Inc.,https://file.onegiantleap.com/files/styles/webp/public/swapcardmigration/exhibitors/5d8cc7957eac491bb88ffd3176c3d283.png.webp?VersionId=EgoUrIynSdugzcKHTwDvXjht5GtAgf8s&amp;itok=9d6KlY7d,https://datadoghq.com,Exhibitor,H3.H20,United States,"Other; Technology, Software and IT Services",,Africa; Asia; Europe; LATAM; MENA; North America; Oceania; UK and Ireland,,,,,datadog,datadoghq,"Datadog is an observability and security platform that unifies metrics, traces, logs, security signals, cloud spend and other telemetry data—from across your stack—into a single pane of glass. With over 1,000+ fully-supported integrations, your team can observe any stack at any scale, secure applications from code to cloud, and act faster with automated workflows all on the Datadog platform. Your data is enhanced with AI-powered insights and automated remediation, streamlining collaboration between Dev, Ops, and Security teams for faster troubleshooting and improved system health and security."
DataGalaxy,,https://datagalaxy.com,Exhibitor,H5.D60,,,,,,,,,,,
Dataiku,https://file.onegiantleap.com/files/styles/webp/public/swapcardmigration/exhibitors/9f09835a3bb34f9bb31dbec1ac8b6982.png.webp?VersionId=HNRnPInAIgdL7tXXYfaTDHqIHRBg89Sx&amp;itok=-ZaOT7dP,www.dataiku.com,Exhibitor,H3.C48,United Arab Emirates,"Technology, Software and IT Services",,Africa; Asia; Europe; North America; UK and Ireland; Middle East,Pre-IPO,B2B,2013,500+,,dataiku,"Dataiku is the Platform for AI Success. It sits above your data platforms,your clouds, and your AI services as the orchestration layer that connectsall of them and depends on none. Your people build production AI withtools matched to their skills. Your data, models, LLMs, and agents operateas one governed system."
Datain,https://file.onegiantleap.com/files/styles/webp/public/swapcardmigration/exhibitors/7f3f40f9171e4b1f8e20fc60fa9bcc8d.jpeg.webp?VersionId=Z5XZPQyG3qZFZ5ohxtGD4lmj6EZlOFeP&amp;itok=glcoC2sn,https://datain.sa/,Exhibitor,H2.O10,Saudi Arabia,"Consulting and Advisory; Technology, Software and IT Services",,MENA,,B2B,2021,100-250,In516ht,,"Since our inception in 2021, DataIn has been at the forefront of the Kingdom’s digital revolution. We bridge the gap between raw information and strategic intelligence, helping Saudi organizations lead with confidence in a data-first world.We simplify the Data to decision journey.Empowering stakeholders with clarity, removing the noise of unstructured environments, and delivering actionable pathways."
Datalexing,https://file.onegiantleap.com/files/styles/webp/public/swapcardmigration/exhibitors/c9d2c062e326418c83cd0af1d61a8f81.png.webp?VersionId=6uGBRPEBf0915KxoMCzRxPkTUra2q3B2&amp;itok=L_3VLNZ9,https://www.datalexing.com/,Exhibitor,H1A.D30,Saudi Arabia,"Technology, Software and IT Services; Telecommunications",,MENA,No Funding Yet/Bootstrapped,B2B,20218,21-50,datalexing,datalexing,"DataLexing is the first Saudi-built Work OS, a single secure workspace that brings business intelligence, workflow automation, and daily operations together in one place and ends an organization's dependence on scattered foreign tools. Instead of paying for Monday.com, Asana, ClickUp, or Trello for projects and tasks, Airtable, Excel, or Google Sheets for data, a separate BI licence for dashboards, and further subscriptions for forms, team wikis, and CRM, teams consolidate everything into one system. That system includes interactive tables with precise data types and linked records, Kanban boards and timelines, gallery views, secure forms and surveys with verified identities and granular access control, real-time live reports, DataLexing Flow for workflow automation, and DataLexing BI for analytics. Founded in Riyadh in 2018 and now in its 3.0 release, DataLexing is trusted by 21 Saudi government entities, more than 200 companies, and over 3,000 teams across 40 countries, serving executive offices, project teams, operations, and HR. Every record is hosted and processed entirely within Saudi Arabia's borders with no exceptions, and every workspace is fully isolated so that no data is shared, exposed, or accessed outside your environment. The platform is ISO 27001 certified, complies with the National Cybersecurity Authority (NCA) framework and SDAIA policies, is included in the Local Content Authority's National Products Mandatory List, is a member of the Made in Saudi program, and holds the Google Developer Zero Trust Key, which no other Work OS in the Middle East has received. For Saudi government and enterprise organizations, DataLexing is the sovereign alternative to imported software, with fewer subscriptions, lower cost, faster decisions, local support in Riyadh, and full alignment with Vision 2030 local content requirements."
Datalink Company,https://file.onegiantleap.com/files/styles/webp/public/swapcardmigration/exhibitors/7b9a8ee5d8eb481db3677e4b0a3033f5.jpeg.webp?VersionId=mOz.xEJemszIEjXQcLrGpyp.zWG6sRzn&amp;itok=jlT5-JqD,https://datalink.sa/about-us/who-we-are/,Exhibitor,H3.C110,Saudi Arabia,,Professional Services; Technology & Telecommunications,MENA,,B2B,,,datalinksa,,"Founded in 2007, Datalink is a Saudi company leading the field in Data center turnkey solutions (Design and build) and total Facilities Management (TFM) for mission-critical environments. We specialize in the operation and maintenance of data centers, telecom facilities, and enterprise infrastructure, ensuring uptime, business continuity, and energy efficiency."
Datamatics Technologies,,https://datamaticstechnologies.com,Exhibitor,H5.E60,Saudi Arabia,"Consulting and Advisory; Financial Services and Banking; Technology, Software and IT Services",,Asia; Europe; MENA; North America; UK and Ireland,,B2B; B2C; B2B2C,2016,100-250,,,
Datamindr,https://file.onegiantleap.com/files/styles/webp/public/swapcardmigration/exhibitors/c9d2c062e326418c83cd0af1d61a8f81.png.webp?VersionId=6uGBRPEBf0915KxoMCzRxPkTUra2q3B2&amp;itok=L_3VLNZ9,https://dataminr.com,,,,,,,,,,,,,
DataMost AI,,https://datamost.ai,Exhibitor,H3.E198,,,,,,,,,,,
DataPlus,https://file.onegiantleap.com/files/styles/webp/public/swapcardmigration/exhibitors/e69672e375d540e0b224a09b4d832f9f.png.webp?VersionId=QeJRpMjMYtxTe6nbn3RJJN0nyRGub_dY&amp;itok=_Ph4D2Bp,https://www.dataplus.sa,Exhibitor,H2.O10,Saudi Arabia,,,,,,,,,,
DataScience Middle East,,https://datascience.me/,Exhibitor,H5.E60,United Arab Emirates,"Consulting and Advisory; Financial Services and Banking; Technology, Software and IT Services",,Africa; MENA,,B2B,2014,250-500,datascienceme,datascience.me,"DataScience Middle East (DSME) is a leading, AI-driven consulting and technology company specializing in advanced analytics, data engineering, and intelligent decision platforms. We help organizations transform data and AI strategies into secure, scalable, production-ready solutions that deliver measurable business impact across regulated and high-growth industries.Founded in 2015, DSME brings deep expertise in building cutting-edge AI and advanced analytics solutions that turn complex data into intelligent, actionable decisions. With a proven track record in delivering scalable, production-grade platforms, we enable organizations to achieve sustainable, future-ready outcomes.DSME operates as a single, integrated delivery organization, combining deep domain expertise, strong regional understanding, and advanced AI capabilities to address complex business and regulatory challenges with speed, precision, and confidence.With our delivery capability, built-in scalability, cultural alignment, and a strong focus on governance, security, and compliance, DSME enables organizations to build, modernize, and operationalize AI with confidence today and into the future.DSME | Empowering Decisions with AI"
"Datotek International Co., Ltd.",,https://datotek.co,Exhibitor,H5.F50,,,,,,,,,,,
DDS Technologies,https://file.onegiantleap.com/files/styles/webp/public/swapcardmigration/exhibitors/381033ab84964a3abac944f3fdc5fe5b.png.webp?VersionId=5xtMoE2oWgApa6XKGbbxhTp81AGGibIW&amp;itok=MXekx3u8,,Exhibitor,H3.J100,Saudi Arabia,"Technology, Software and IT Services",,MENA,,,,,,,"DDS Technologies provides cloud services and technology solutions to enterprises. As the first Huawei cloud distributor in MENA, equipping our partners with advanced cloud services increases their profitability and enhances their customers' trust. We also provide Huawei Cloud solutions to help our clients enhance their security and reduce traditional costs. As an Odoo partner, we assist you in achieving complete remote control by integrating all departments into one unified system. Our services ensure high security, data protection, and efficiency with minimal effort"
DEEP Robotics,https://file.onegiantleap.com/files/styles/webp/public/swapcardmigration/exhibitors/c9d2c062e326418c83cd0af1d61a8f81.png.webp?VersionId=6uGBRPEBf0915KxoMCzRxPkTUra2q3B2&amp;itok=L_3VLNZ9,https://www.deeprobotics.cn/en/,Exhibitor,H5.J10,China,"Education, Academia and Research; Energy, Utilities & Natural Resources; Technology, Software and IT Services",,,Pre-IPO,B2B; B2C,2017,500+,deep-robotics,,"Founded in 2017, DEEP Robotics is an embodied AI company specializing in the R&D, manufacturing, and commercialization of quadruped robots, humanoid robots, and core components. Driven by independent innovation, the company has developed a full-stack technology architecture centered on its proprietary “Embodied Brain,” spanning perception, decision-making, and execution. With end-to-end in-house capabilities across hardware and software, DEEP Robotics has pioneered the deployment of core technologies—including multimodal environmental perception, cross-scenario autonomous navigation, and integrated perception and motion control—in a wide range of real-world applications.With a strong focus on industry applications, DEEP Robotics has independently developed a comprehensive portfolio of robotic products, with multiple performance metrics ranking among the world’s leading levels. Its robots have been among the first to achieve commercial deployment across sectors including energy, emergency response, industrial operations, and education."
Deepija Telecom,https://file.onegiantleap.com/files/styles/webp/public/swapcardmigration/exhibitors/c9d2c062e326418c83cd0af1d61a8f81.png.webp?VersionId=6uGBRPEBf0915KxoMCzRxPkTUra2q3B2&amp;itok=L_3VLNZ9,https://www.deepijatel.com,Exhibitor,H3.D160,,Telecommunications,Technology & Telecommunications,Africa,IPO/Exit,B2B,,,,,"Telecom Applications are one of the fastest-changing technologies of today. Businesses are innovating the way they interact with their customers and Telecom Applications has to keep up with their innovation. Deepija Telecom is a market leader in Telecom Applications. Deepija has proved its leadership be it premises-based solutions or Hosted/ Cloud Telecom Solutions. The ConVox suite of applications includes Omni Channel Contact Center Solution, Customized IP-PBX, Conference Bridge, Broadcasting Tool, IVR, and many other solutions with the latest communication technologies. These solutions are integrated with leading CRMs like SalesForce. With ConVix AI voice and chatbot customer enhance their customer engagement and reduce high engagement volume."
DefAI,https://file.onegiantleap.com/files/styles/webp/public/swapcardmigration/exhibitors/80715fde96fb49c39764d6707db87c2d.png.webp?VersionId=W5MUMmXk38DhGMOMxsfwXSXsuWbpq_bK&amp;itok=qmI6fVZt,https://defaiya.com,,,,,,,,,,,,,
Delcit Inc.,https://file.onegiantleap.com/files/styles/webp/public/swapcardmigration/exhibitors/82c76abf608f446ea73cd2876720d8c1.png.webp?VersionId=ahLWGnxKwmfAVP2NNSMicojCYqD.z9zr&amp;itok=cwwp2iaN,www.delcit.com,Exhibitor,H3.H148,Canada,"Consulting and Advisory; Technology, Software and IT Services",,Asia; Europe; MENA; North America; Middle East,No Funding Yet/Bootstrapped,B2B; B2C,2010,21-50,,,"As a Microsoft Certified Partner and Independent Software Vendor (ISV), Delcit has been devoted for over a decade to helping businesses elevate their approach to technological innovation.Through the implementation of Microsoft Dynamics 365, we combine deep industry expertise with cutting-edge technology to become a trusted, long-term business partner to our clients.In addition to delivering end-to-end implementations, we are proud to have multiple published applications available on Microsoft marketplace.Our team of experts specializes in Microsoft Dynamics 365 Finance & Supply Chain, Dynamics 365 Business Central, CRM, Fashion & Retail, and e-Commerce solutions.We work side by side with our clients to navigate today’s evolving business landscape, cultivating long-term professional relationships through reliable solutions, continuous innovation, and dedicated support."
Dell Technologies,https://file.onegiantleap.com/files/styles/webp/public/swapcardmigration/exhibitors/725bc0f94e8f4d4fad933aa7bca37eb3.png.webp?VersionId=MKCd_mcjMs0Ah8nRTgpNd2_1SGAHTtF7&amp;itok=qlVhK174,https://dell.com,Exhibitor,H1.L50,Saudi Arabia,,,,,,,,,,
Deloitte,,https://deloitte.com,Exhibitor,H1.K40,,,,,,,,,,,
Deloitte & Touche Middle East Limited,https://file.onegiantleap.com/files/styles/webp/public/swapcardmigration/exhibitors/85cc1b2e35384a74a65ad4dc027470c2.jpeg.webp?VersionId=0eSgpBfRQXpANhWik0DLcWoQGpH56CQ7&amp;itok=n-jj6ifp,https://deloitte.com,Exhibitor,H2.L20,Saudi Arabia,"Consulting and Advisory; Energy, Utilities & Natural Resources; Financial Services and Banking; Legal, Audit and Professional Services; Technology, Software and IT Services; Telecommunications",,,,,,500+,deloitte,deloittemiddleeast,"Established in the Middle East in 1926, Deloitte has maintained 100 years of uninterrupted presence across the region. Today, Deloitte Middle East operates in 15 countries with 30+ offices and over 11,000 professionals, supporting governments, businesses, and institutions in driving sustainable growth and transformation.As the world’s largest professional services network, Deloitte combines global capabilities with deep regional expertise to help clients innovate, navigate change, and create lasting impact."
"Demai Enterprise Co., Ltd",,https://demai.tech,Exhibitor,H5.F50,,,,,,,,,,,
Deqa Ai,https://file.onegiantleap.com/files/styles/webp/public/swapcardmigration/exhibitors/13a38cc12fc64a95a6a96753b69acc4a.jpeg.webp?VersionId=6xnulLQNvB21WhE_9TTOXl4gG_KYjJHg&amp;itok=-fc8KndY,https://deqa.ai,,,,,,,,,,,,,
DermaScan,https://file.onegiantleap.com/files/styles/webp/public/swapcardmigration/exhibitors/544230348499452a95c5b598840d1677.png.webp?VersionId=KUc13LrKN5bRh9LJ.SZtN7eJxKUKJaaW&amp;itok=HoZxr7eE,https://dermascan.fr,,,,,,,,,,,,,
Devoteam Saudi Arabia Co. Ltd,https://file.onegiantleap.com/files/styles/webp/public/swapcardmigration/exhibitors/24d5506ba17c4bd6a23ef115d994195b.jpeg.webp?VersionId=34S5WlKOt.spI7YCKaG_KXdF1LkCIYXu&amp;itok=mzctg5tD,https://devoteam.com,Exhibitor,H2.M20,Saudi Arabia,,,,,,,,,,
